IPv,source_address,dest_address,transport_protocol,packet_size,timestamp
4,64.4.54.254,10.0.0.130,6,772,1570208234.739745
4,10.0.0.130,64.4.54.254,6,54,1570208234.747723
4,10.0.0.130,64.4.54.254,6,147,1570208234.752704
4,64.4.54.254,10.0.0.130,6,105,1570208234.95916
4,10.0.0.130,64.4.54.254,6,1167,1570208234.969043
4,64.4.54.254,10.0.0.130,6,369,1570208235.230371
4,10.0.0.130,64.4.54.254,6,54,1570208235.237314
4,10.0.0.130,64.4.54.254,6,85,1570208235.245296
4,10.0.0.130,64.4.54.254,6,54,1570208235.252312
4,64.4.54.254,10.0.0.130,6,54,1570208235.460719
4,10.0.0.190,224.0.0.251,17,368,1570208235.573413
6,fe80::10ac:145b:2909:2964,ff02::fb,17,388,1570208235.587375
4,10.0.0.190,224.0.0.251,17,130,1570208235.900193
6,fe80::10ac:145b:2909:2964,ff02::fb,17,150,1570208235.909166
4,10.0.0.190,224.0.0.251,17,262,1570208236.223786
6,fe80::10ac:145b:2909:2964,ff02::fb,17,282,1570208236.236751
4,10.0.0.171,224.0.0.251,2,46,1570208236.802075
4,10.0.0.190,224.0.0.251,17,368,1570208237.726316
6,fe80::10ac:145b:2909:2964,ff02::fb,17,388,1570208237.741162
4,10.0.0.141,10.0.0.255,17,92,1570208237.749141
6,fe80::3a80:dfff:fe04:9827,ff02::2,58,70,1570208238.057529
4,10.0.0.141,10.0.0.255,17,92,1570208238.318906
4,10.0.0.141,10.0.0.255,17,92,1570208239.237882
4,10.0.0.190,224.0.0.251,17,194,1570208239.599569
4,10.0.0.141,10.0.0.255,17,92,1570208242.34593
4,10.0.0.141,10.0.0.255,17,92,1570208244.476785
4,10.0.0.141,10.0.0.255,17,92,1570208245.09071
4,10.0.0.141,10.0.0.255,17,92,1570208246.619047
4,10.0.0.130,10.0.0.1,17,85,1570208247.079781
4,10.0.0.130,52.25.237.163,6,55,1570208247.086803
4,10.0.0.1,10.0.0.130,17,547,1570208247.102896
4,10.0.0.130,64.4.54.254,6,66,1570208247.108704
4,64.4.54.254,10.0.0.130,6,66,1570208247.318144
4,10.0.0.130,64.4.54.254,6,54,1570208247.327168
4,10.0.0.130,64.4.54.254,6,255,1570208247.332103
4,52.25.237.163,10.0.0.130,6,54,1570208247.336092
4,64.4.54.254,10.0.0.130,6,1514,1570208247.595442
4,64.4.54.254,10.0.0.130,6,1514,1570208247.602384
4,64.4.54.254,10.0.0.130,6,772,1570208247.612143
4,10.0.0.130,64.4.54.254,6,54,1570208247.617593
4,10.0.0.130,64.4.54.254,6,147,1570208247.623857
4,64.4.54.254,10.0.0.130,6,105,1570208247.833794
4,10.0.0.130,64.4.54.254,6,1494,1570208247.837782
4,10.0.0.130,64.4.54.254,6,1494,1570208247.841764
4,10.0.0.130,64.4.54.254,6,1494,1570208247.846756
4,10.0.0.130,64.4.54.254,6,186,1570208247.849773
4,64.4.54.254,10.0.0.130,6,54,1570208248.107036
4,64.4.54.254,10.0.0.130,6,370,1570208248.166873
4,10.0.0.130,64.4.54.254,6,54,1570208248.175849
4,10.0.0.130,64.4.54.254,6,85,1570208248.181832
4,10.0.0.130,64.4.54.254,6,54,1570208248.185829
4,10.0.0.141,10.0.0.255,17,92,1570208248.190808
4,64.4.54.254,10.0.0.130,6,54,1570208248.450153
4,10.0.0.130,64.4.54.254,6,66,1570208251.499321
4,64.4.54.254,10.0.0.130,6,66,1570208251.760632
4,10.0.0.130,64.4.54.254,6,54,1570208251.765609
4,10.0.0.130,64.4.54.254,6,255,1570208251.771597
4,10.0.0.141,10.0.0.255,17,92,1570208251.879309
4,64.4.54.254,10.0.0.130,6,1514,1570208252.03589
4,64.4.54.254,10.0.0.130,6,1514,1570208252.046412
4,64.4.54.254,10.0.0.130,6,772,1570208252.051881
4,10.0.0.130,64.4.54.254,6,54,1570208252.059932
4,10.0.0.130,64.4.54.254,6,147,1570208252.067802
4,64.4.54.254,10.0.0.130,6,105,1570208252.276274
4,10.0.0.130,64.4.54.254,6,1105,1570208252.281982
4,10.0.0.130,10.0.0.1,17,85,1570208252.388943
4,10.0.0.1,10.0.0.130,17,321,1570208252.399958
4,10.0.0.130,10.0.0.1,17,84,1570208252.408331
4,10.0.0.1,10.0.0.130,17,285,1570208252.423866
4,10.0.0.130,10.0.0.1,17,84,1570208252.432864
4,10.0.0.1,10.0.0.130,17,169,1570208252.440804
4,10.0.0.130,52.25.237.163,6,66,1570208252.446789
4,10.0.0.125,239.255.255.250,17,222,1570208252.452773
4,64.4.54.254,10.0.0.130,6,54,1570208252.559488
4,64.4.54.254,10.0.0.130,6,369,1570208252.615337
4,10.0.0.130,64.4.54.254,6,54,1570208252.622317
4,10.0.0.130,64.4.54.254,6,85,1570208252.6293
4,10.0.0.130,64.4.54.254,6,54,1570208252.635285
4,10.0.0.130,10.0.0.1,17,85,1570208252.691167
4,10.0.0.1,10.0.0.130,17,321,1570208252.696153
4,10.0.0.130,52.25.237.163,6,66,1570208252.70014
4,52.25.237.163,10.0.0.130,6,66,1570208252.70313
4,10.0.0.130,52.25.237.163,6,54,1570208252.707141
4,10.0.0.130,52.25.237.163,6,571,1570208252.710112
4,10.0.0.141,10.0.0.255,17,92,1570208252.763943
4,64.4.54.254,10.0.0.130,6,54,1570208252.920547
4,52.25.237.163,10.0.0.130,6,66,1570208252.97637
4,10.0.0.130,52.25.237.163,6,54,1570208252.982386
4,10.0.0.130,52.25.237.163,6,571,1570208252.987371
4,52.25.237.163,10.0.0.130,6,54,1570208253.043203
4,52.25.237.163,10.0.0.130,6,1514,1570208253.099074
4,52.25.237.163,10.0.0.130,6,1514,1570208253.103064
4,52.25.237.163,10.0.0.130,6,552,1570208253.107559
4,10.0.0.130,52.25.237.163,6,54,1570208253.11101
4,10.0.0.130,52.25.237.163,6,180,1570208253.114031
4,10.0.0.130,52.25.237.163,6,628,1570208253.117023
4,10.0.0.141,10.0.0.255,17,92,1570208253.374305
4,10.0.0.125,239.255.255.250,17,222,1570208253.379293
4,52.25.237.163,10.0.0.130,6,54,1570208253.48501
4,52.25.237.163,10.0.0.130,6,105,1570208253.489074
4,52.25.237.163,10.0.0.130,6,212,1570208253.491993
4,10.0.0.130,52.25.237.163,6,54,1570208253.495488
4,52.25.237.163,10.0.0.130,6,54,1570208253.499002
4,52.25.237.163,10.0.0.130,6,1514,1570208253.50399
4,52.25.237.163,10.0.0.130,6,1514,1570208253.508983
4,52.25.237.163,10.0.0.130,6,552,1570208253.513936
4,10.0.0.130,52.25.237.163,6,54,1570208253.520077
4,10.0.0.130,52.25.237.163,6,180,1570208253.525902
4,10.0.0.130,52.25.237.163,6,244,1570208253.53089
4,10.0.0.130,52.25.237.163,6,54,1570208253.535928
4,52.25.237.163,10.0.0.130,6,105,1570208253.795214
4,10.0.0.130,52.25.237.163,6,54,1570208253.799172
4,52.25.237.163,10.0.0.130,6,85,1570208253.803179
4,52.25.237.163,10.0.0.130,6,54,1570208253.808146
